model_id,mode,sample_id,human_std,human_range,model_std,model_range,model_mean,human_mean,n_model_samples,corr_human_model_std,collapse_rate_on_high_disagreement,n_high
moonshotai/kimi-k3,T,s5_plural,1.928863090142175,6.0,0.7264831572567789,2.0,3.5555555555555554,3.35,9,,,
moonshotai/kimi-k3,T,s5_animate,1.928863090142175,6.0,0.6009252125773316,2.0,5.888888888888889,4.65,9,,,
moonshotai/kimi-k3,T,s7_global,1.9662211577097937,6.0,0.44095855184409843,1.0,5.222222222222222,4.075,9,,,
moonshotai/kimi-k3,T,s10_name,1.8912755158683456,6.0,0.33333333333333337,1.0,3.888888888888889,4.75,9,,,
moonshotai/kimi-k3,T,s1_global,1.8088103471052104,6.0,0.33333333333333337,1.0,5.111111111111111,5.1,9,,,
moonshotai/kimi-k3,T,s3_name,1.9942224241350504,6.0,0.7264831572567789,2.0,4.555555555555555,3.35,9,,,
moonshotai/kimi-k3,T,s3_global,2.040613281369737,6.0,0.5,1.0,5.333333333333333,3.3,9,,,
moonshotai/kimi-k3,T,__SUMMARY__,,,,,,,,-0.05931195101647577,1.0,15
moonshotai/kimi-k3,ORIG,s4_all,2.0778131995700897,6.0,0.7071067811865476,2.0,4.0,4.125,5,,,
moonshotai/kimi-k3,ORIG,s5_name,1.9942224241350504,6.0,0.5477225575051661,1.0,5.4,3.65,5,,,
moonshotai/kimi-k3,ORIG,s9_name,1.910665074166853,6.0,1.51657508881031,4.0,2.4,5.125,5,,,
moonshotai/kimi-k3,ORIG,s6_animate,1.9333443854679675,6.0,0.4472135954999579,1.0,3.8,3.825,5,,,
moonshotai/kimi-k3,ORIG,s9_plural,1.8255662978079725,6.0,0.4472135954999579,1.0,4.8,4.525,5,,,
moonshotai/kimi-k3,ORIG,s7_plural,1.825039514851454,6.0,0.0,0.0,4.0,3.95,5,,,
moonshotai/kimi-k3,ORIG,s3_all,1.992131959381643,6.0,0.5477225575051661,1.0,5.4,3.325,5,,,
moonshotai/kimi-k3,ORIG,s3_plural,1.98193056903813,6.0,0.4472135954999579,1.0,5.2,3.8536585365853657,5,,,
moonshotai/kimi-k3,ORIG,s5_plural,1.928863090142175,6.0,1.3038404810405297,3.0,3.2,3.35,5,,,
moonshotai/kimi-k3,ORIG,s5_animate,1.928863090142175,6.0,0.7071067811865476,2.0,6.0,4.65,5,,,
moonshotai/kimi-k3,ORIG,s7_global,1.9662211577097937,6.0,0.4472135954999579,1.0,4.8,4.075,5,,,
moonshotai/kimi-k3,ORIG,s10_name,1.8912755158683456,6.0,0.8944271909999159,2.0,4.6,4.75,5,,,
moonshotai/kimi-k3,ORIG,s1_global,1.8088103471052104,6.0,0.5477225575051661,1.0,5.6,5.1,5,,,
moonshotai/kimi-k3,ORIG,s3_name,1.9942224241350504,6.0,0.8366600265340756,2.0,3.2,3.35,5,,,
moonshotai/kimi-k3,ORIG,s3_global,2.040613281369737,6.0,1.224744871391589,3.0,5.0,3.3,5,,,
moonshotai/kimi-k3,ORIG,__SUMMARY__,,,,,,,,0.2721462913645595,0.8,15
google/gemini-3.6-flash,T,s4_all,2.0778131995700897,6.0,0.31622776601683794,1.0,6.1,4.125,10,,,
google/gemini-3.6-flash,T,s5_name,1.9942224241350504,6.0,0.4216370213557839,1.0,5.2,3.65,10,,,
google/gemini-3.6-flash,T,s9_name,1.910665074166853,6.0,0.0,0.0,5.0,5.125,10,,,
google/gemini-3.6-flash,T,s6_animate,1.9333443854679675,6.0,0.5163977794943222,1.0,3.6,3.825,10,,,
google/gemini-3.6-flash,T,s9_plural,1.8255662978079725,6.0,0.31622776601683794,1.0,5.1,4.525,10,,,
google/gemini-3.6-flash,T,s7_plural,1.825039514851454,6.0,0.4216370213557839,1.0,4.8,3.95,10,,,
google/gemini-3.6-flash,T,s3_all,1.992131959381643,6.0,0.4216370213557839,1.0,5.8,3.325,10,,,
google/gemini-3.6-flash,T,s3_plural,1.98193056903813,6.0,0.31622776601683794,1.0,5.9,3.8536585365853657,10,,,
google/gemini-3.6-flash,T,s5_plural,1.928863090142175,6.0,0.5676462121975466,2.0,4.1,3.35,10,,,
google/gemini-3.6-flash,T,s5_animate,1.928863090142175,6.0,0.5163977794943222,1.0,6.6,4.65,10,,,
google/gemini-3.6-flash,T,s7_global,1.9662211577097937,6.0,0.48304589153964794,1.0,5.3,4.075,10,,,
google/gemini-3.6-flash,T,s10_name,1.8912755158683456,6.0,0.48304589153964794,1.0,4.7,4.75,10,,,
google/gemini-3.6-flash,T,s1_global,1.8088103471052104,6.0,0.4216370213557839,1.0,5.2,5.1,10,,,
google/gemini-3.6-flash,T,s3_name,1.9942224241350504,6.0,0.0,0.0,5.0,3.35,10,,,
google/gemini-3.6-flash,T,s3_global,2.040613281369737,6.0,0.0,0.0,6.0,3.3,10,,,
google/gemini-3.6-flash,T,__SUMMARY__,,,,,,,,-0.3002916397056779,1.0,15
z-ai/glm-5.2,T,s4_all,2.0778131995700897,6.0,2.0608863984346026,5.0,3.642857142857143,4.125,14,,,
z-ai/glm-5.2,T,s5_name,1.9942224241350504,6.0,2.4142434484888695,5.0,3.6,3.65,15,,,
z-ai/glm-5.2,T,s9_name,1.910665074166853,6.0,2.0223114472661203,5.0,3.3846153846153846,5.125,13,,,
z-ai/glm-5.2,T,s6_animate,1.9333443854679675,6.0,1.2798809468443688,3.0,2.7333333333333334,3.825,15,,,
z-ai/glm-5.2,T,s9_plural,1.8255662978079725,6.0,2.0926349130034314,5.0,4.071428571428571,4.525,14,,,
z-ai/glm-5.2,T,s7_plural,1.825039514851454,6.0,1.499083969380217,5.0,2.642857142857143,3.95,14,,,
z-ai/glm-5.2,T,s3_all,1.992131959381643,6.0,2.614975188810639,6.0,4.533333333333333,3.325,15,,,
z-ai/glm-5.2,T,s3_plural,1.98193056903813,6.0,2.313521331732421,5.0,4.066666666666666,3.8536585365853657,15,,,
z-ai/glm-5.2,T,s5_plural,1.928863090142175,6.0,1.9611613513818404,5.0,3.0,3.35,14,,,
z-ai/glm-5.2,T,s5_animate,1.928863090142175,6.0,2.65114530506561,6.0,5.2,4.65,15,,,
z-ai/glm-5.2,T,s7_global,1.9662211577097937,6.0,1.9148542155126762,5.0,2.6666666666666665,4.075,15,,,
z-ai/glm-5.2,T,s10_name,1.8912755158683456,6.0,1.8050600428356278,4.0,2.7857142857142856,4.75,14,,,
z-ai/glm-5.2,T,s1_global,1.8088103471052104,6.0,2.282438128301359,5.0,4.066666666666666,5.1,15,,,
z-ai/glm-5.2,T,s3_name,1.9942224241350504,6.0,1.740279123753264,4.0,3.2,3.35,15,,,
z-ai/glm-5.2,T,s3_global,2.040613281369737,6.0,2.2318047362958033,6.0,4.133333333333334,3.3,15,,,
z-ai/glm-5.2,T,__SUMMARY__,,,,,,,,0.23613194788051775,0.0,15
google/gemma-4-31b-it,T,s4_all,2.0778131995700897,6.0,0.47016234598162726,1.0,5.3,4.125,20,,,
google/gemma-4-31b-it,T,s5_name,1.9942224241350504,6.0,0.7451598203705947,3.0,5.35,3.65,20,,,
google/gemma-4-31b-it,T,s9_name,1.910665074166853,6.0,0.5104177855340405,1.0,5.55,5.125,20,,,
google/gemma-4-31b-it,T,s6_animate,1.9333443854679675,6.0,0.512989176042577,1.0,3.5,3.825,20,,,
google/gemma-4-31b-it,T,s9_plural,1.8255662978079725,6.0,0.0,0.0,5.0,4.525,20,,,
google/gemma-4-31b-it,T,s7_plural,1.825039514851454,6.0,0.5026246899500346,1.0,4.4,3.95,20,,,
google/gemma-4-31b-it,T,s3_all,1.992131959381643,6.0,0.0,0.0,6.0,3.325,20,,,
google/gemma-4-31b-it,T,s3_plural,1.98193056903813,6.0,0.4442616583193193,1.0,5.75,3.8536585365853657,20,,,
google/gemma-4-31b-it,T,s5_plural,1.928863090142175,6.0,1.954078056944394,6.0,4.15,3.35,20,,,
google/gemma-4-31b-it,T,s5_animate,1.928863090142175,6.0,0.22360679774997896,1.0,6.95,4.65,20,,,
google/gemma-4-31b-it,T,s7_global,1.9662211577097937,6.0,0.512989176042577,1.0,5.5,4.075,20,,,
google/gemma-4-31b-it,T,s10_name,1.8912755158683456,6.0,0.22360679774997896,1.0,4.95,4.75,20,,,
google/gemma-4-31b-it,T,s1_global,1.8088103471052104,6.0,0.30779350562554625,1.0,5.9,5.1,20,,,
google/gemma-4-31b-it,T,s3_name,1.9942224241350504,6.0,0.30779350562554625,1.0,4.9,3.35,20,,,
google/gemma-4-31b-it,T,s3_global,2.040613281369737,6.0,0.0,0.0,6.0,3.3,20,,,
google/gemma-4-31b-it,T,__SUMMARY__,,,,,,,,0.004716614532713378,0.9333333333333333,15
google/gemma-3-12b-it,ORIG,s4_all,2.0778131995700897,6.0,0.30779350562554625,1.0,5.9,4.125,20,,,
google/gemma-3-12b-it,ORIG,s5_name,1.9942224241350504,6.0,0.36634754853252327,1.0,1.15,3.65,20,,,
google/gemma-3-12b-it,ORIG,s9_name,1.910665074166853,6.0,0.0,0.0,2.0,5.125,20,,,
google/gemma-3-12b-it,ORIG,s6_animate,1.9333443854679675,6.0,0.0,0.0,2.0,3.825,20,,,
google/gemma-3-12b-it,ORIG,s9_plural,1.8255662978079725,6.0,0.22360679774997896,1.0,5.05,4.525,20,,,
google/gemma-3-12b-it,ORIG,s7_plural,1.825039514851454,6.0,0.0,0.0,3.0,3.95,20,,,
google/gemma-3-12b-it,ORIG,s3_all,1.992131959381643,6.0,0.0,0.0,6.0,3.325,20,,,
google/gemma-3-12b-it,ORIG,s3_plural,1.98193056903813,6.0,0.0,0.0,6.0,3.8536585365853657,20,,,
google/gemma-3-12b-it,ORIG,s5_plural,1.928863090142175,6.0,0.22360679774997896,1.0,1.05,3.35,20,,,
google/gemma-3-12b-it,ORIG,s5_animate,1.928863090142175,6.0,0.0,0.0,7.0,4.65,20,,,
google/gemma-3-12b-it,ORIG,s7_global,1.9662211577097937,6.0,0.5026246899500346,1.0,4.6,4.075,20,,,
google/gemma-3-12b-it,ORIG,s10_name,1.8912755158683456,6.0,0.22360679774997896,1.0,6.95,4.75,20,,,
google/gemma-3-12b-it,ORIG,s1_global,1.8088103471052104,6.0,0.0,0.0,5.0,5.1,20,,,
google/gemma-3-12b-it,ORIG,s3_name,1.9942224241350504,6.0,0.30779350562554625,1.0,4.9,3.35,20,,,
google/gemma-3-12b-it,ORIG,s3_global,2.040613281369737,6.0,0.4442616583193193,1.0,6.75,3.3,20,,,
google/gemma-3-12b-it,ORIG,__SUMMARY__,,,,,,,,0.4821965188130908,1.0,15
z-ai/glm-5.2,ORIG,s4_all,2.0778131995700897,6.0,0.8366600265340756,2.0,5.2,4.125,5,,,
z-ai/glm-5.2,ORIG,s5_name,1.9942224241350504,6.0,0.8366600265340756,2.0,5.2,3.65,5,,,
z-ai/glm-5.2,ORIG,s9_name,1.910665074166853,6.0,0.4472135954999579,1.0,5.8,5.125,5,,,
z-ai/glm-5.2,ORIG,s6_animate,1.9333443854679675,6.0,0.4472135954999579,1.0,3.8,3.825,5,,,
z-ai/glm-5.2,ORIG,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,5,,,
z-ai/glm-5.2,ORIG,s7_plural,1.825039514851454,6.0,0.4472135954999579,1.0,3.2,3.95,5,,,
z-ai/glm-5.2,ORIG,s3_all,1.992131959381643,6.0,0.0,0.0,6.0,3.325,5,,,
z-ai/glm-5.2,ORIG,s3_plural,1.98193056903813,6.0,0.0,0.0,6.0,3.8536585365853657,5,,,
z-ai/glm-5.2,ORIG,s5_plural,1.928863090142175,6.0,0.4472135954999579,1.0,5.8,3.35,5,,,
z-ai/glm-5.2,ORIG,s5_animate,1.928863090142175,6.0,0.4472135954999579,1.0,6.2,4.65,5,,,
z-ai/glm-5.2,ORIG,s7_global,1.9662211577097937,6.0,0.7071067811865476,2.0,4.0,4.075,5,,,
z-ai/glm-5.2,ORIG,s10_name,1.8912755158683456,6.0,0.4472135954999579,1.0,4.2,4.75,5,,,
z-ai/glm-5.2,ORIG,s1_global,1.8088103471052104,6.0,0.4472135954999579,1.0,5.2,5.1,5,,,
z-ai/glm-5.2,ORIG,s3_name,1.9942224241350504,6.0,0.5477225575051661,1.0,4.6,3.35,5,,,
z-ai/glm-5.2,ORIG,s3_global,2.040613281369737,6.0,0.4472135954999579,1.0,5.8,3.3,5,,,
z-ai/glm-5.2,ORIG,__SUMMARY__,,,,,,,,0.3292125457069547,1.0,15
deepseek/deepseek-v4-flash,T,s4_all,2.0778131995700897,6.0,0.5163977794943222,2.0,5.3,4.125,40,,,
deepseek/deepseek-v4-flash,T,s5_name,1.9942224241350504,6.0,0.8002403485107555,5.0,4.975,3.65,40,,,
deepseek/deepseek-v4-flash,T,s9_name,1.910665074166853,6.0,0.9486832980505138,6.0,5.65,5.125,40,,,
deepseek/deepseek-v4-flash,T,s6_animate,1.9333443854679675,6.0,0.6751068291531577,3.0,3.575,3.825,40,,,
deepseek/deepseek-v4-flash,T,s9_plural,1.8255662978079725,6.0,0.549475274168981,2.0,5.175,4.525,40,,,
deepseek/deepseek-v4-flash,T,s7_plural,1.825039514851454,6.0,0.5883484054145521,2.0,4.25,3.95,40,,,
deepseek/deepseek-v4-flash,T,s3_all,1.992131959381643,6.0,0.42290206176626033,1.0,6.225,3.325,40,,,
deepseek/deepseek-v4-flash,T,s3_plural,1.98193056903813,6.0,0.505736325340815,1.0,6.525,3.8536585365853657,40,,,
deepseek/deepseek-v4-flash,T,s5_plural,1.928863090142175,6.0,1.259833118781804,5.0,4.45,3.35,40,,,
deepseek/deepseek-v4-flash,T,s5_animate,1.928863090142175,6.0,0.3349320635285418,1.0,6.875,4.65,40,,,
deepseek/deepseek-v4-flash,T,s7_global,1.9662211577097937,6.0,0.7143223433831607,3.0,4.45,4.075,40,,,
deepseek/deepseek-v4-flash,T,s10_name,1.8912755158683456,6.0,0.6698641270570836,2.0,4.25,4.75,40,,,
deepseek/deepseek-v4-flash,T,s1_global,1.8088103471052104,6.0,0.0,0.0,5.0,5.1,40,,,
deepseek/deepseek-v4-flash,T,s3_name,1.9942224241350504,6.0,0.4414428557263045,2.0,4.9,3.35,40,,,
deepseek/deepseek-v4-flash,T,s3_global,2.040613281369737,6.0,0.4640954808922571,1.0,6.3,3.3,40,,,
deepseek/deepseek-v4-flash,T,__SUMMARY__,,,,,,,,0.1082311153073137,0.9333333333333333,15
deepseek/deepseek-v4-flash,ORIG,s4_all,2.0778131995700897,6.0,0.36634754853252327,1.0,5.15,4.125,20,,,
deepseek/deepseek-v4-flash,ORIG,s5_name,1.9942224241350504,6.0,0.47016234598162726,1.0,5.3,3.65,20,,,
deepseek/deepseek-v4-flash,ORIG,s9_name,1.910665074166853,6.0,0.5104177855340405,1.0,4.45,5.125,20,,,
deepseek/deepseek-v4-flash,ORIG,s6_animate,1.9333443854679675,6.0,0.30779350562554625,1.0,4.1,3.825,20,,,
deepseek/deepseek-v4-flash,ORIG,s9_plural,1.8255662978079725,6.0,0.22360679774997896,1.0,5.05,4.525,20,,,
deepseek/deepseek-v4-flash,ORIG,s7_plural,1.825039514851454,6.0,0.36634754853252327,1.0,5.15,3.95,20,,,
deepseek/deepseek-v4-flash,ORIG,s3_all,1.992131959381643,6.0,0.0,0.0,6.0,3.325,20,,,
deepseek/deepseek-v4-flash,ORIG,s3_plural,1.98193056903813,6.0,0.4472135954999579,2.0,5.9,3.8536585365853657,20,,,
deepseek/deepseek-v4-flash,ORIG,s5_plural,1.928863090142175,6.0,0.4442616583193193,1.0,4.25,3.35,20,,,
deepseek/deepseek-v4-flash,ORIG,s5_animate,1.928863090142175,6.0,0.41039134083406165,1.0,4.8,4.65,20,,,
deepseek/deepseek-v4-flash,ORIG,s7_global,1.9662211577097937,6.0,0.41039134083406165,1.0,4.8,4.075,20,,,
deepseek/deepseek-v4-flash,ORIG,s10_name,1.8912755158683456,6.0,0.5231483637805969,2.0,5.2,4.75,20,,,
deepseek/deepseek-v4-flash,ORIG,s1_global,1.8088103471052104,6.0,0.0,0.0,5.0,5.1,20,,,
deepseek/deepseek-v4-flash,ORIG,s3_name,1.9942224241350504,6.0,0.5104177855340405,1.0,4.45,3.35,20,,,
deepseek/deepseek-v4-flash,ORIG,s3_global,2.040613281369737,6.0,0.3244428422615251,2.0,6.0,3.3,20,,,
deepseek/deepseek-v4-flash,ORIG,__SUMMARY__,,,,,,,,0.25222640690282544,1.0,15
openai/gpt-4.1-mini,ORIG,s4_all,2.0778131995700897,6.0,0.4442616583193193,1.0,5.75,4.125,20,,,
openai/gpt-4.1-mini,ORIG,s5_name,1.9942224241350504,6.0,0.39403446282620613,2.0,5.05,3.65,20,,,
openai/gpt-4.1-mini,ORIG,s9_name,1.910665074166853,6.0,0.6569466853317862,2.0,5.3,5.125,20,,,
openai/gpt-4.1-mini,ORIG,s6_animate,1.9333443854679675,6.0,0.5026246899500346,1.0,3.6,3.825,20,,,
openai/gpt-4.1-mini,ORIG,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,20,,,
openai/gpt-4.1-mini,ORIG,s7_plural,1.825039514851454,6.0,0.5525062514530825,2.0,3.1,3.95,20,,,
openai/gpt-4.1-mini,ORIG,s3_all,1.992131959381643,6.0,0.3244428422615251,2.0,6.0,3.325,20,,,
openai/gpt-4.1-mini,ORIG,s3_plural,1.98193056903813,6.0,0.0,0.0,5.0,3.8536585365853657,20,,,
openai/gpt-4.1-mini,ORIG,s5_plural,1.928863090142175,6.0,0.30779350562554625,1.0,2.9,3.35,20,,,
openai/gpt-4.1-mini,ORIG,s5_animate,1.928863090142175,6.0,0.7163503994113789,2.0,5.75,4.65,20,,,
openai/gpt-4.1-mini,ORIG,s7_global,1.9662211577097937,6.0,0.6048053188292994,2.0,5.55,4.075,20,,,
openai/gpt-4.1-mini,ORIG,s10_name,1.8912755158683456,6.0,0.22360679774997896,1.0,2.95,4.75,20,,,
openai/gpt-4.1-mini,ORIG,s1_global,1.8088103471052104,6.0,0.22360679774997896,1.0,5.05,5.1,20,,,
openai/gpt-4.1-mini,ORIG,s3_name,1.9942224241350504,6.0,0.7326950970650465,3.0,3.7,3.35,20,,,
openai/gpt-4.1-mini,ORIG,s3_global,2.040613281369737,6.0,0.3244428422615251,2.0,5.0,3.3,20,,,
openai/gpt-4.1-mini,ORIG,__SUMMARY__,,,,,,,,0.1951632095860095,1.0,15
google/gemma-4-31b-it,ORIG,s4_all,2.0778131995700897,6.0,0.0,0.0,5.0,4.125,20,,,
google/gemma-4-31b-it,ORIG,s5_name,1.9942224241350504,6.0,0.36634754853252327,1.0,4.15,3.65,20,,,
google/gemma-4-31b-it,ORIG,s9_name,1.910665074166853,6.0,0.0,0.0,5.0,5.125,20,,,
google/gemma-4-31b-it,ORIG,s6_animate,1.9333443854679675,6.0,0.0,0.0,3.0,3.825,20,,,
google/gemma-4-31b-it,ORIG,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,20,,,
google/gemma-4-31b-it,ORIG,s7_plural,1.825039514851454,6.0,0.22360679774997896,1.0,4.05,3.95,20,,,
google/gemma-4-31b-it,ORIG,s3_all,1.992131959381643,6.0,0.0,0.0,7.0,3.325,20,,,
google/gemma-4-31b-it,ORIG,s3_plural,1.98193056903813,6.0,0.0,0.0,6.0,3.8536585365853657,20,,,
google/gemma-4-31b-it,ORIG,s5_plural,1.928863090142175,6.0,0.30779350562554625,1.0,5.9,3.35,20,,,
